name,FGA,FGM,FT%,3PT%,PTS,REB,AST,ST,BLK,TO
LeBron James,1303,643,0.693,0.348,1698,525,684,78,36,261
Carmelo Anthony,782,336,0.845,0.385,895,368,85,49,27,100
Dwight Howard,277,202,0.514,0.6,517,507,45,31,79,84
Chris Paul,887,434,0.907,0.365,1232,349,472,111,11,161
Lou Williams,936,391,0.861,0.352,1185,201,365,43,12,182
LaMarcus Aldridge,793,391,0.827,0.389,1001,392,129,36,87,74
Kyle Lowry,803,334,0.857,0.352,1126,292,433,82,26,178
Kevin Durant,0,0,0,0,0,0,0,0,0,0
Al Horford,709,319,0.763,0.35,798,456,270,52,61,80
Mike Conley,567,232,0.827,0.375,675,151,208,36,5,92
Jeff Green,344,159,0.802,0.339,453,133,50,26,19,42
Thaddeus Young,601,269,0.583,0.356,659,315,117,92,23,102
Derrick Rose,753,369,0.871,0.306,904,121,278,40,16,126
Russell Westbrook,1281,604,0.763,0.258,1553,451,401,93,20,255
Kevin Love,727,327,0.854,0.374,987,547,178,33,19,140
Danilo Gallinari,817,358,0.893,0.405,1160,322,119,42,5,76
Eric Gordon,463,171,0.766,0.317,520,71,54,23,13,43
Brook Lopez,671,292,0.836,0.314,813,312,99,46,163,70
Serge Ibaka,670,343,0.718,0.385,845,452,77,28,46,109
Nicolas Batum,81,28,0.9,0.286,79,100,66,17,8,22
DeAndre Jordan,287,191,0.68,0,465,561,105,18,52,74
Goran Dragic,724,319,0.776,0.367,953,187,301,40,10,144
James Harden,1514,672,0.865,0.355,2335,446,512,125,60,308
Ricky Rubio,692,287,0.863,0.361,847,304,570,94,11,173
Stephen Curry,82,33,1,0.245,104,26,33,5,2,16
DeMar DeRozan,1049,557,0.845,0.257,1504,375,380,70,20,164
Jrue Holiday,1006,458,0.709,0.353,1167,293,408,99,48,184
John Wall,0,0,0,0,0,0,0,0,0,0
Gordon Hayward,700,350,0.855,0.383,909,348,212,38,22,96
Paul George,782,343,0.876,0.412,1033,272,185,68,20,125
Eric Bledsoe,703,334,0.79,0.344,911,282,328,57,26,148
Hassan Whiteside,702,436,0.686,0.571,1040,905,78,26,196,120
Kyrie Irving,416,199,0.922,0.394,548,103,128,27,10,52
Tristan Thompson,562,288,0.615,0.391,684,577,120,33,50,103
Jonas Valanciunas,739,432,0.74,0.352,1044,788,131,30,76,127
Kemba Walker,889,378,0.864,0.381,1145,217,268,48,28,117
Alec Burks,768,321,0.887,0.385,993,282,189,62,17,91
Kawhi Leonard,1133,532,0.886,0.378,1543,402,280,103,33,149
Nikola Vucevic,1033,493,0.784,0.339,1215,673,222,54,47,88
Enes Kanter,348,199,0.707,0.143,469,431,56,22,41,56
Tobias Harris,1173,553,0.806,0.367,1411,495,227,53,40,104
Jimmy Butler,758,345,0.834,0.244,1157,386,350,103,32,127
Bojan Bogdanovic,935,418,0.903,0.414,1275,259,131,34,7,159
Davis Bertans,610,265,0.852,0.424,834,245,92,37,33,59
Anthony Davis,1096,551,0.846,0.33,1618,577,200,91,143,154
Bradley Beal,1303,593,0.842,0.353,1741,242,347,71,23,194
Damian Lillard,1349,624,0.888,0.401,1978,284,530,70,22,194
Harrison Barnes,793,365,0.801,0.381,1046,355,159,43,12,88
Terrence Ross,846,341,0.853,0.351,1016,222,82,77,24,70
Andre Drummond,784,418,0.575,0.143,1010,864,152,109,93,203
Evan Fournier,929,434,0.818,0.399,1221,171,209,71,15,125
Jae Crowder,563,226,0.776,0.343,684,384,161,72,24,69
Draymond Green,316,123,0.759,0.279,345,266,266,59,33,98
Khris Middleton,947,471,0.916,0.415,1297,382,265,53,7,137
Will Barton,738,332,0.767,0.375,874,365,212,61,29,88
Justin Holiday,486,208,0.791,0.405,603,238,93,87,46,44
Victor Oladipo,246,97,0.814,0.317,275,75,56,17,4,47
Nerlens Noel,269,184,0.755,0.333,449,300,57,59,91,66
CJ McCollum,1356,611,0.757,0.379,1556,297,310,54,42,127
Steven Adams,478,283,0.582,0.333,684,583,146,51,67,94
Giannis Antetokounmpo,1238,685,0.633,0.304,1857,856,354,61,66,230
Dennis Schroder,965,453,0.839,0.385,1229,236,262,45,14,166
Mason Plumlee,288,177,0.535,0,437,317,154,33,38,82
Tim Hardaway Jr.,884,384,0.819,0.398,1121,232,137,41,5,69
Rudy Gobert,557,386,0.63,0,1026,916,101,51,135,130
Seth Curry,574,284,0.825,0.452,793,145,124,38,9,62
Robert Covington,723,305,0.798,0.335,870,463,88,115,93,103
Andrew Wiggins,978,437,0.709,0.332,1175,274,198,45,53,132
Joel Embiid,801,382,0.807,0.331,1172,593,152,45,65,159
Aaron Gordon,767,335,0.674,0.308,894,475,228,51,39,100
Marcus Smart,682,256,0.836,0.347,776,225,291,101,29,103
Julius Randle,1006,463,0.733,0.277,1248,622,198,51,22,193
Zach LaVine,1199,539,0.802,0.38,1530,289,254,88,28,206
T.J. Warren,997,534,0.819,0.403,1326,280,99,78,34,84
Jusuf Nurkic,109,54,0.886,0.2,141,82,32,11,16,19
